Index,Value,Time,Iterations
231,981694,3.700028173625469e-06,8
232,290271,4.600035026669502e-06,8
233,771823,4.899920895695686e-06,8
234,584221,1.3299984857439995e-05,12
235,388841,9.199953638017178e-06,11
236,611383,2.200016751885414e-06,8
237,178915,4.799920134246349e-06,8
238,30745,4.899920895695686e-06,8
239,597904,5.09992241859436e-06,8
240,104666,1.4199991710484028e-05,10
241,156508,4.300032742321491e-06,8
242,528775,5.300040356814861e-06,8
243,981068,8.899951353669167e-06,9
244,922061,7.70005863159895e-06,9
245,188131,4.600035026669502e-06,8
246,751818,5.500041879713535e-06,8
247,845320,4.299916326999664e-06,8
248,208725,6.500049494206905e-06,10
249,685473,2.500019036233425e-06,8
250,616254,6.600050255656242e-06,10
251,782970,3.700028173625469e-06,8
252,327426,3.900029696524143e-06,8
253,607683,3.6999117583036423e-06,8
254,73646,3.300025127828121e-06,8
255,828965,1.1400086805224419e-05,11
256,964970,3.00002284348011e-06,8
257,834641,1.200009137392044e-06,8
258,225738,1.300009898841381e-06,8
259,950090,1.200009137392044e-06,8
260,969594,1.300009898841381e-06,8
261,686237,2.700020559132099e-06,9
262,113325,1.200009137392044e-06,8
263,214586,1.100008375942707e-06,8
264,421717,1.200009137392044e-06,8
265,296285,1.200009137392044e-06,8
266,897288,3.100023604929447e-06,10
267,153464,2.199900336563587e-06,9
268,173327,2.00001522898674e-06,9
269,308725,1.9000144675374031e-06,9
270,154772,1.400010660290718e-06,8
271,620692,1.1998927220702171e-06,8
272,399224,1.300009898841381e-06,8
273,82068,1.200009137392044e-06,8
274,363358,3.00002284348011e-06,10
275,299643,7.699942216277122e-06,14
276,886718,1.400010660290718e-06,9
277,650468,1.300009898841381e-06,9
278,857428,1.400010660290718e-06,9
279,586710,1.400010660290718e-06,9
280,481477,1.300009898841381e-06,9
281,663527,2.300017513334751e-06,10
282,783683,1.3998942449688911e-06,9
283,303586,1.300009898841381e-06,9
284,6556,2.300017513334751e-06,10
285,613898,2.200016751885414e-06,10
286,427484,1.300009898841381e-06,9
287,492970,1.400010660290718e-06,9
288,990511,1.400010660290718e-06,9
289,252683,2.100015990436077e-06,10
290,591583,2.00001522898674e-06,10
291,16030,1.300009898841381e-06,9
292,75244,1.200009137392044e-06,9
293,393552,2.100015990436077e-06,10
294,426824,1.200009137392044e-06,9
295,720616,1.200009137392044e-06,9
296,504104,1.500011421740055e-06,9
