Index,Value,Time,Iterations
232,762973,3.600027412176132e-06,12
233,954968,5.900044925510883e-06,15
234,859050,4.100031219422817e-06,16
235,545111,2.200016751885414e-06,12
236,822980,5.300040356814861e-06,18
237,588104,3.999914042651653e-06,16
238,790386,3.300025127828121e-06,14
239,184165,3.00002284348011e-06,14
240,14073,2.6999041438102722e-06,14
241,462798,3.700028173625469e-06,14
242,928350,2.8999056667089462e-06,14
243,272951,2.00001522898674e-06,9
244,188118,3.00002284348011e-06,14
245,8211,4.399917088449001e-06,16
246,570944,3.300025127828121e-06,14
247,354129,3.8000289350748062e-06,14
248,766180,2.299901098012924e-06,10
249,159964,3.200024366378784e-06,14
250,55486,2.700020559132099e-06,12
251,766988,2.500019036233425e-06,12
252,631517,3.200024366378784e-06,14
253,585667,5.400041118264198e-06,18
254,704282,2.599903382360935e-06,12
255,878394,3.400025889277458e-06,13
256,279630,4.300032742321491e-06,16
257,347154,2.599903382360935e-06,12
258,727053,3.500026650726795e-06,14
259,942639,3.00002284348011e-06,12
260,33233,2.6999041438102722e-06,14
261,120491,2.400018274784088e-06,12
262,587528,3.500026650726795e-06,16
263,114842,3.2999087125062943e-06,14
264,764630,2.700020559132099e-06,11
265,338115,2.300017513334751e-06,12
266,227497,2.300017513334751e-06,12
267,219199,3.100023604929447e-06,14
268,116854,3.300025127828121e-06,12
269,408522,2.600019797682762e-06,14
270,95542,3.00002284348011e-06,14
271,111585,2.500019036233425e-06,12
272,546099,5.600042641162872e-06,20
273,771823,2.300017513334751e-06,11
274,494041,3.8000289350748062e-06,16
275,1770,4.199915565550327e-06,16
276,785428,2.400018274784088e-06,12
277,756402,2.400018274784088e-06,12
278,920578,3.400025889277458e-06,15
279,554266,3.400025889277458e-06,13
280,77561,3.300025127828121e-06,14
281,811546,2.400018274784088e-06,12
282,902714,3.700028173625469e-06,16
283,724230,2.500019036233425e-06,12
284,6675,7.0999376475811005e-06,24
285,615945,3.200024366378784e-06,12
286,311233,3.8000289350748062e-06,15
287,129144,2.300017513334751e-06,12
288,750770,2.300017513334751e-06,12
289,880859,3.100023604929447e-06,14
290,940833,2.399901859462261e-06,12
291,617091,2.400018274784088e-06,12
292,902765,2.800021320581436e-06,14
293,512521,2.500019036233425e-06,12
294,58715,4.700035788118839e-06,18
295,295718,2.900022082030773e-06,12
296,695884,2.7999049052596092e-06,14
297,188131,3.900029696524143e-06,15
298,794344,4.700035788118839e-06,18
299,240959,2.8999056667089462e-06,13
300,298886,3.100023604929447e-06,14
301,164356,5.00003807246685e-06,18
302,884683,2.900022082030773e-06,14
303,616254,2.600019797682762e-06,10
304,861059,3.100023604929447e-06,14
305,241761,4.100031219422817e-06,16
306,526500,2.400018274784088e-06,12
307,575525,2.700020559132099e-06,12
308,206341,4.00003045797348e-06,15
309,429830,3.300025127828121e-06,13
310,452132,2.800021320581436e-06,12
311,5151,3.500026650726795e-06,13
312,530904,4.00003045797348e-06,14
313,591593,4.199915565550327e-06,16
314,813915,2.800021320581436e-06,12
315,924522,2.500019036233425e-06,12
316,534446,2.8999056667089462e-06,14
317,75635,4.800036549568176e-06,18
318,477677,4.400033503770828e-06,16
319,770362,5.200039595365524e-06,20
320,600890,3.00002284348011e-06,14
321,55272,2.300017513334751e-06,12
322,307475,3.8000289350748062e-06,16
323,441753,2.700020559132099e-06,12
324,428214,2.400018274784088e-06,12
325,288978,5.600042641162872e-06,20
326,288549,3.100023604929447e-06,14
327,363882,2.7999049052596092e-06,12
328,619287,2.200016751885414e-06,11
329,46213,2.500019036233425e-06,12
330,676074,2.500019036233425e-06,11
331,169703,2.400018274784088e-06,12
332,250616,2.300017513334751e-06,12
333,995290,2.100015990436077e-06,12
334,947797,2.8999056667089462e-06,14
335,659537,3.700028173625469e-06,14
336,635196,2.700020559132099e-06,13
337,783054,3.1999079510569572e-06,14
338,529534,3.700028173625469e-06,16
339,211841,3.00002284348011e-06,14
